Median Household Income (Current Year $),Total Population,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 1990,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Dwellings by Tenure Owner,Dwellings by Tenure Renter
77443.48,2459,29,345,207,216,71,640,381,5,745,245
76048.31,3176,688,389,6,12,6,919,210,0,873,188
76471.77,3285,579,393,60,3,0,581,483,0,681,366
123221.67,7535,14,129,1518,513,12,2177,79,0,1957,145
85880.34,2003,85,208,114,190,61,673,21,53,671,31
37502.86,8065,678,1511,266,204,82,1030,1841,0,1341,1346
111330.29,5120,38,311,135,402,249,1553,188,4,1564,89
84257.03,3151,396,392,58,37,77,827,476,0,785,416
44220.48,4271,957,569,107,110,25,509,1407,11,756,1080
53249.77,3543,376,343,175,250,169,1163,357,5,1042,445
78913.59,2695,816,92,32,37,29,795,244,5,796,211
87285.33,4639,472,1061,84,33,97,1566,344,4,1394,409
87090.88,6033,27,834,450,120,144,1229,850,0,1560,319
92281.46,4740,29,1186,534,49,17,1717,137,0,1557,187
83424.25,5577,113,425,334,269,152,1772,346,11,1629,349
91160.51,4250,1312,270,65,36,25,1329,462,12,1196,502
34162.69,2232,569,320,128,71,41,198,994,20,309,868
75393.62,6613,182,2010,137,62,48,1556,922,22,2009,349
94569.92,3140,32,796,230,80,0,891,262,0,717,398
112433,139,0,8,0,14,0,42,0,0,9,8
75471.53,185,0,8,2,9,2,50,0,0,0,0
53072.91,3962,52,919,378,216,4,43,1583,0,1274,230
92578.19,3588,146,322,139,195,163,1102,146,39,1071,152
53492.65,2883,614,384,89,68,28,208,1325,48,586,885
109273.34,7393,403,859,557,452,265,2832,15,0,2483,204
75048.05,2151,249,234,125,120,53,710,139,6,567,252
58867.21,3740,127,920,74,66,3,748,476,0,831,312
51867.95,3481,504,758,179,48,8,813,958,0,848,834
21213.77,497,82,198,22,0,0,41,263,5,0,318
61817.73,4478,564,831,107,80,32,1214,559,4,892,808
97170.85,9311,2,0,11,72,1045,1916,176,0,1805,140
98756.37,3352,135,1018,16,49,0,1245,0,0,1134,35
115426.76,3077,7,7,0,82,279,1012,6,0,913,28
86548.36,7782,1247,638,256,310,118,2858,77,11,2354,335
71241.44,5113,190,978,217,569,584,109,3076,0,1181,1746
47579.44,3536,1262,317,31,16,10,206,1463,6,604,999
44398.66,4739,216,829,252,480,147,644,1803,0,906,1400
26237.48,4276,329,811,107,73,9,393,1025,0,24,1308
47585.25,2974,431,620,51,54,28,64,1172,5,441,750
99262.9,1109,56,105,63,38,73,428,6,0,334,39
97742.92,4694,504,458,350,211,103,1772,25,15,1595,115
27724.44,3330,586,1009,303,145,49,16,2169,10,126,1941
80994.05,3445,159,526,196,237,95,1239,26,120,1239,70
