Median Household Income (Current Year $),Total Population,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 1990,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Dwellings by Tenure Owner,Dwellings by Tenure Renter
45155.81,2834,945,307,100,37,36,0,1539,10,300,1149
27483.61,2084,740,310,64,44,3,237,973,5,383,827
56939.24,3470,381,773,22,16,0,1017,249,0,768,408
68814.33,6684,34,1307,623,160,38,1781,200,306,1674,484
49896.46,3777,679,303,101,67,23,827,494,0,806,417
148706.18,4688,0,55,806,611,9,1532,6,0,1391,37
47306.29,3100,509,592,236,142,21,494,1088,29,611,936
75480.1,3616,632,314,114,256,27,1234,231,0,1134,260
57624.04,8015,405,607,420,408,161,602,2210,24,1506,1141
114979.82,4725,43,288,78,252,227,1322,492,0,1417,253
68824.31,4446,22,1332,172,129,120,1271,663,37,1302,497
104387.9,5619,353,948,238,114,49,1099,775,0,1474,315
86260.41,7692,22,292,841,647,82,1112,913,0,1479,459
101705.64,6236,24,2073,231,24,0,2384,42,0,2060,220
44406.67,5712,640,1021,274,217,52,920,1718,5,1020,1525
108266.72,4449,0,15,463,663,307,1589,60,0,1383,158
83375.37,4261,1574,113,26,17,0,1564,196,0,1411,247
52753.97,4774,368,1181,300,96,44,1121,1234,1,1058,1129
69835.84,3473,255,802,130,117,65,951,612,0,972,525
95994.82,5926,0,189,265,698,249,1220,551,0,1413,268
124895.72,5775,154,192,783,427,103,1539,307,0,1523,207
52769.53,3051,925,329,72,42,25,201,1244,5,586,801
86537.1,3877,173,356,396,365,128,1074,555,0,1033,493
77293.43,3263,145,714,318,61,0,1196,148,0,934,329
50582.3,3812,249,634,160,254,101,606,1089,4,384,1144
81574.31,3081,152,724,93,38,3,980,43,5,706,262
95666.53,3478,27,766,130,235,0,1248,28,0,953,213
69520.96,7779,1058,1081,99,72,0,1642,943,6,1710,675
57820.97,4806,187,844,599,361,249,697,1645,1,914,1367
42690.87,1036,262,80,115,41,20,0,662,0,187,417
85288.6,5530,788,321,72,54,215,1278,1338,0,1929,460
119212.17,5505,1333,205,41,135,76,1041,1042,13,1390,590
73597.79,5227,48,1391,137,97,7,1365,389,0,1235,390
128447.3,9543,0,5,10,17,312,2617,977,0,2312,941
71140.48,6448,207,687,239,1155,138,970,1669,0,1496,1011
100875.2,4957,0,96,578,688,129,1495,84,0,1181,297
73044.05,2689,45,653,311,143,58,756,505,0,686,541
59750,4346,543,1569,463,168,29,96,2742,10,629,2053
76513.25,3427,618,599,96,80,15,1286,180,5,1127,322
123219.78,4468,0,127,1068,114,0,1292,50,0,1169,59
58699.06,5591,86,1222,507,175,31,1182,960,21,1058,954
111613.65,4998,21,579,938,240,3,1655,188,0,1582,142
84136.01,3021,253,253,227,171,78,1135,13,0,1050,61
38697,4259,1313,374,58,67,11,927,935,9,827,981
72049.69,6275,398,669,574,387,41,1746,432,12,1809,324
83985.42,8110,59,768,917,886,33,2268,734,0,1877,930
32163.24,3503,955,646,74,49,9,740,1025,3,465,1224
76056.19,4784,947,628,104,132,34,1288,871,5,1255,856
103440.28,4444,80,399,745,165,38,1495,25,11,1366,62
72829.13,5548,1042,895,274,103,13,1521,863,6,1308,1043
89590.2,5025,42,906,466,249,23,1545,188,5,1442,243
77478.96,6443,204,1251,296,299,74,1190,1243,0,1670,626
47649.51,7401,199,1627,517,271,25,12,2726,0,1073,1434
50820.12,4896,177,732,328,427,158,58,2622,0,1080,1395
81970.09,7294,12,325,434,514,215,2281,321,0,1934,490
43078.77,2962,426,940,231,120,4,231,1553,0,135,1615
132824.86,4013,0,57,1195,69,16,1382,0,0,1292,62
88288.4,5427,55,573,582,573,65,1259,698,166,1478,531
52953.66,4877,1453,567,74,46,16,301,1923,0,1029,1104
115166.86,3642,929,465,234,79,32,886,872,4,939,790
91661.96,8364,3,82,608,1038,300,1838,557,0,1624,565
45702.75,10880,148,582,1066,844,341,5,6281,0,1875,3832
96666.26,4678,248,889,349,143,21,1465,210,5,1364,264
48814.02,4795,555,439,242,341,97,505,1662,0,986,1031
44664.64,7252,542,1137,660,235,108,1428,1727,0,1017,1919
0,0,0,0,0,0,0,0,0,0,0,0
84944.54,9673,142,707,562,652,242,1969,1916,5,2165,1275
104660.77,7287,12,543,971,274,406,2413,169,0,2253,178
148636.5,6979,78,211,290,363,190,2205,6,6,2020,51
52407.25,5081,1653,192,7,29,7,1630,313,5,1397,427
105648.9,5225,0,707,400,171,308,1317,612,0,1580,268
91187.34,4774,5,132,576,520,271,1060,521,5,1045,466
105192.46,13496,58,180,487,308,475,3800,1108,7,3694,945
89821.35,9456,268,1147,184,197,530,3365,351,1,2937,570
72396.56,1382,53,107,17,28,36,432,6,3,344,60
39229.52,1250,356,196,54,40,3,0,670,5,120,509
98200.18,8196,15,286,104,680,1039,1931,1580,52,2158,864
74375,55,1,0,0,0,0,0,0,11,0,1
34062.01,6304,1263,1126,165,104,37,46,2792,5,478,2220
43990.3,2164,679,286,32,38,23,5,1216,25,181,981
74345.73,4966,47,759,825,240,164,1263,931,5,1184,865
115104.97,5867,0,2,0,47,1081,1642,46,3,1357,193
55339.35,6211,72,1226,917,218,24,0,2539,0,1236,1089
44564.41,6629,735,1531,763,253,84,353,3333,12,950,2525
87636.25,5380,9,38,120,1019,474,1007,1210,5,1178,943
57671.95,6294,1293,1140,312,301,154,257,3342,4,1000,2369
51421.37,6171,695,1578,440,195,20,977,2047,9,1081,1963
93503.09,2864,82,324,109,88,51,750,160,0,699,145
37033.64,3105,481,557,71,58,22,162,1029,5,263,923
43298.19,6010,327,1490,674,199,163,10,3527,4,585,2717
80765.9,7696,352,574,209,260,294,1943,748,1,2228,293
53623.46,2984,45,811,189,65,14,920,228,0,722,408
49616.61,3769,671,680,145,73,26,814,842,15,711,851
42295.84,5065,490,963,271,433,69,381,1989,10,557,1647
60961.39,1901,21,439,202,196,20,532,108,287,677,204
108511.1,6277,1289,822,163,38,34,1591,1021,0,1689,790
82039.25,4371,31,365,974,185,40,1292,383,0,1356,281
59729.76,3897,1297,250,46,18,19,1434,259,0,1250,331
62525.1,7801,398,569,338,953,197,568,2206,4,1716,906
35061.53,2246,825,242,129,43,10,47,1220,32,273,1012
76230.21,6678,196,851,537,516,213,1911,888,9,1904,785
56392.79,5744,169,1554,305,110,0,1330,874,0,1141,920
87457.78,5906,0,6,55,1135,183,1288,186,0,1209,125
108861.07,8275,627,598,447,318,365,2759,183,9,2582,285
123792.83,3738,391,105,123,209,41,1016,263,0,986,167
45660.25,4250,97,843,538,313,53,357,1732,0,1119,915
136037.21,6182,65,1299,270,148,68,1924,59,0,1661,240
94869.49,8535,63,50,49,385,727,1965,1237,4,2116,612
69005.91,6795,83,1795,297,137,50,1875,478,159,1494,857
49778.57,7157,1394,923,133,78,26,1246,1411,0,1266,1301
89472.91,4450,605,655,133,209,26,1615,43,0,1468,133
49183.26,3158,846,387,49,60,29,1132,283,3,878,494
55990.41,8003,94,1022,1165,331,73,6,3069,0,690,2051
72094.04,6230,219,954,370,247,150,1588,1101,5,1772,710
81058.76,2983,132,763,79,107,22,890,416,0,983,263
65427.12,7708,907,1111,506,309,190,1644,1893,0,1755,1494
46115.02,6452,459,1516,300,161,24,664,2071,0,1349,1209
44376.6,3300,1046,416,76,52,61,16,1745,67,370,1314
40304.52,2195,832,216,54,49,0,80,1175,29,129,1089
47199.43,4234,352,855,113,70,46,408,1098,0,722,731
100406.15,2695,204,116,82,196,11,920,22,0,835,36
31307.51,3151,427,562,322,194,93,34,1652,10,315,1269
100080.07,4227,23,73,961,246,6,1009,338,0,972,262
108700.83,8255,562,365,319,98,296,2548,507,0,2299,558
43203.57,1454,583,120,24,23,13,53,759,10,92,686
93631.42,7065,136,929,743,273,161,2045,220,439,2315,297
148617.39,4973,99,619,186,214,161,1598,5,0,1474,40
67480.11,1959,2,26,40,308,232,137,807,0,745,175
84048.46,3761,359,529,31,46,31,672,677,0,1064,220
92047.86,3815,18,768,448,108,58,1236,218,5,1220,193
35717.03,4591,836,891,250,192,74,609,1839,5,356,1985
98166.84,7490,90,964,563,878,21,2104,487,5,2074,343
60245.16,827,93,125,49,26,0,316,10,9,304,35
66664.62,5363,1094,417,73,104,32,943,836,0,1085,625
84556.48,9589,114,469,809,880,296,2915,793,11,2724,726
45832.05,3667,214,718,107,58,21,663,483,0,688,389
58268.03,4321,110,1220,340,72,24,1212,610,0,1211,507
250000,5274,465,149,93,172,153,1283,661,0,1543,199
58684.22,5400,556,314,83,101,230,1451,758,5,974,730
50056.87,4622,355,1110,62,56,0,857,787,0,1000,601
82443.81,3399,178,692,224,121,61,1067,334,6,1109,225
107326.21,2724,31,113,283,306,51,965,91,0,911,92
27715.34,2448,548,455,317,174,17,59,1566,10,365,1189
63027.75,9402,277,301,275,1821,919,126,4876,1,2038,2561
79826.39,5959,388,1119,344,423,36,1429,968,0,1803,458
50971.78,3832,1009,666,204,24,21,1169,833,10,943,966
105548.18,7863,1304,389,199,313,123,1454,1405,4,1958,734
157298.85,6211,0,27,440,879,433,1854,27,0,1685,75
111802.98,8599,11,144,1089,952,148,2390,93,0,2156,101
99788.62,5727,47,66,272,455,279,815,760,5,1082,378
32532.59,3787,742,677,236,198,21,762,1209,5,445,1445
45390.54,4936,823,665,98,54,22,503,1214,0,700,909
55194.88,5281,469,746,101,57,57,421,1925,0,882,1296
183207.36,1694,0,128,181,90,14,505,0,0,379,10
46897.44,5370,1273,1675,382,126,74,26,3662,5,664,2829
100182.53,6737,422,513,149,799,285,2351,126,3,2259,137
223719.28,1641,569,100,10,6,6,430,275,0,371,301
109751.17,5154,0,141,376,539,276,1262,306,0,1263,208
85445.9,6733,129,1375,713,129,62,2234,274,9,1639,780
102702.45,6192,30,1446,481,262,47,1662,692,131,1377,923
35378.57,2618,548,420,110,90,46,127,1169,5,162,1031
37003.61,7696,798,1157,538,313,103,596,3140,0,679,2509
137266.1,2415,179,157,196,60,43,823,0,4,651,106
83204.31,4597,95,303,167,235,270,1247,528,109,1405,410
77526.54,3733,391,352,60,14,89,743,947,0,1081,466
30277.1,4670,189,1688,723,223,31,266,2689,5,376,2549
71404.89,5199,212,578,312,165,79,1547,481,10,1449,418
82929.75,7598,266,1437,534,673,53,2099,1076,7,1961,1082
73870.52,7292,1297,1269,333,174,141,1613,2169,0,1577,1819
85823.04,4329,386,969,186,181,61,1528,324,0,1258,538
46901.73,6767,314,1490,596,276,67,146,2672,0,260,2318
81505.43,4414,1037,337,89,28,21,1414,345,0,911,721
73039.82,3232,311,382,199,198,50,924,410,0,985,321
60320.75,946,248,67,19,14,0,361,31,0,300,80
48902.28,59,20,0,20,0,0,0,41,0,36,6
104133.68,4985,149,636,297,255,161,1458,203,26,1325,295
55352.2,5566,1150,707,399,73,48,778,1654,5,1037,1362
131803.18,3789,0,8,54,816,153,1103,23,0,994,10
91883.58,8928,17,17,16,45,992,1765,217,0,1579,200
39458.82,3477,661,493,206,164,83,69,1775,5,548,1197
77843.77,4942,383,732,388,182,98,1755,194,7,1761,172
86781.94,3968,408,401,80,113,74,639,620,11,835,360
45428.12,5674,728,1234,171,51,0,927,1303,10,1029,1124
112996.68,4178,3,561,931,68,2,1142,501,0,1224,329
73026.08,3202,133,791,316,93,6,1122,237,0,1019,280
59378.8,5508,1485,494,102,135,62,1144,1573,13,1118,1383
88815.07,4223,363,774,192,156,86,1501,231,0,1324,269
74432.23,3555,67,1044,115,70,12,1302,10,0,1116,156
103515.13,8266,3,63,189,2211,143,2556,188,0,2256,301
87035.27,3574,595,313,101,143,106,1355,37,5,1207,137
72344.41,6553,1156,641,329,376,152,2589,216,0,2147,525
40072.14,2757,784,307,90,56,6,130,1324,5,387,967
50570.25,2334,587,136,106,83,12,795,301,2,675,300
103819.04,5619,923,743,168,55,13,1613,371,4,1431,511
44651.04,2757,623,286,132,26,11,265,961,4,521,600
71546.35,5494,1683,550,60,47,13,1917,499,10,1713,569
47777.77,5130,927,711,104,81,28,1008,913,5,853,948
47667.93,5037,1044,657,182,195,67,935,1438,0,932,1212
38351.69,2952,936,335,136,52,16,535,1055,4,448,1067
100153.53,3927,13,808,531,35,13,1490,6,0,1115,296
57274.94,6580,475,1233,327,200,46,854,1526,5,908,1273
81445.28,5502,264,776,405,306,405,984,1695,5,1831,761
72723.13,4326,353,597,235,138,74,1005,532,0,909,520
62963.83,4016,677,762,160,82,14,497,1250,0,794,879
44128.66,5903,497,643,532,547,172,594,1978,9,1126,1310
86005.7,5690,138,189,297,427,297,1461,438,0,1487,298
149488.48,2763,257,382,38,66,68,481,693,6,678,404
39642.23,1412,142,247,71,73,15,212,375,0,176,385
101083.41,3170,68,662,311,47,13,1020,90,0,983,88
72044.79,4186,3,233,456,355,339,1269,337,0,963,513
78682.09,2394,65,325,346,80,22,294,575,0,613,198
54704.25,4472,244,629,80,64,36,904,1063,0,844,918
87671.79,7450,46,1508,502,457,254,1737,1184,0,2116,725
91343.71,7392,0,16,2,42,536,1451,125,0,1310,105
51829.17,4675,170,1221,374,128,20,1480,501,0,869,973
90045.75,6820,766,744,286,354,118,2184,448,4,1912,629
122685.73,831,31,37,25,41,57,274,0,0,199,20
86666.67,95,0,8,6,6,7,36,0,0,21,12
44029.13,8112,745,1598,516,354,117,1332,2138,3,1098,2223
75216.31,8711,958,1470,308,328,77,1349,2414,6,2336,1157
45610.12,5542,1215,345,97,319,21,1180,854,0,1328,658
97029.05,4798,826,631,107,32,55,1550,150,0,1307,293
95651.48,7358,117,902,591,508,87,1807,675,0,1962,387
54363.64,3900,52,729,633,227,76,889,920,5,921,881
170186.54,4444,0,12,177,1083,17,1367,6,0,1247,32
67301.71,6509,95,810,488,381,284,1114,1674,0,1787,957
107226.29,4461,3,423,840,220,0,1535,6,0,1318,154
81816.01,3867,20,630,164,152,46,1034,507,0,919,435
56857.2,5053,1190,609,176,99,87,817,1828,9,912,1501
49358.93,3881,44,1201,130,46,24,1097,389,0,943,488
92257.94,7984,229,593,684,707,319,2289,745,9,2382,510
89665.6,6297,66,766,163,195,217,1706,500,15,1784,300
76696.96,5177,324,934,341,270,107,1532,380,358,1679,457
126201.76,3021,10,94,607,256,10,1046,0,0,884,75
62470.68,2415,934,79,14,4,4,656,389,1,563,459
120348.09,7165,0,32,42,1527,498,2173,21,0,1820,225
111217.84,5260,12,35,56,853,130,1432,69,0,1247,88
52606.51,3996,677,863,254,128,32,544,1510,13,797,1126
57255.73,3703,377,1000,181,75,21,362,1362,0,462,1112
57519.3,4418,416,962,98,37,35,1194,462,5,906,632
81800.54,4224,66,659,910,126,0,836,1028,0,1249,513
94428.81,1864,265,266,70,23,18,562,133,0,90,560
45896.54,5255,1371,801,129,106,35,25,2483,9,625,1779
104241.9,4116,0,398,578,484,67,1345,206,10,1360,196
78299.37,5716,710,705,505,429,174,984,1811,4,885,1659
43341.96,3141,818,319,60,50,59,6,1695,27,642,886
32469.01,1308,194,123,97,97,85,64,762,21,112,671
42160.58,3059,817,545,133,78,18,561,1085,5,595,1055
61287.42,5548,46,442,1590,157,124,171,2568,0,1492,1099
79511.36,2595,387,553,42,36,9,864,243,0,763,248
80178.42,2506,11,189,122,251,103,569,360,0,647,197
91452.12,3896,13,45,41,1000,162,1259,48,0,925,304
100000,2497,396,134,66,64,87,641,251,0,697,127
89097.39,8902,243,805,518,570,292,2883,287,10,2684,288
49803.42,5248,934,839,597,457,34,595,2488,9,753,2107
47843.41,6125,224,801,520,407,333,872,2116,5,1260,1589
171661.64,6591,9,464,843,382,344,2218,148,0,2044,134
45173.84,7196,39,461,293,395,376,203,3573,0,1687,1883
92026,11112,351,930,278,264,338,2456,845,35,2417,737
53944.76,5304,606,1129,80,28,8,1200,686,4,1305,566
28068.16,4254,1000,374,125,55,18,939,724,9,507,1106
58381.36,6490,110,1607,387,185,0,1263,1114,0,1058,1128
46738.44,8255,1193,1181,243,133,42,1451,1676,56,1477,1507
136396.24,4188,0,22,414,609,224,1358,6,0,1244,29
94248.48,4759,0,526,702,403,12,1702,11,4,1460,130
65034.81,6563,158,636,926,405,100,1620,781,290,1651,846
52250.39,2470,203,302,322,129,13,488,619,0,538,497
88752.39,4304,643,381,166,158,74,578,1208,0,991,682
40693.07,2836,890,406,119,76,21,95,1510,14,391,1125
31660.16,6127,1097,1040,209,135,130,26,2928,8,560,2242
52065.16,1530,186,195,16,10,2,303,300,0,24,494
49393.68,4478,1293,347,70,34,0,1668,205,0,1055,743
81647.95,4449,78,697,524,190,26,1212,360,0,1033,446
74028.88,5226,0,0,0,16,59,1154,29,0,1007,58
50596.59,452,38,55,38,26,10,169,0,26,173,19
96049.77,5956,89,251,265,646,527,1855,133,0,1782,132
50999.04,4679,511,857,140,73,9,723,927,0,646,901
116625.48,3791,0,0,2,585,419,1087,11,0,950,66
51325.31,5300,343,1156,585,335,77,1044,1603,5,973,1443
51378.13,3407,411,835,241,136,26,560,1193,4,643,1046
36641.43,4016,235,934,330,288,107,421,1938,5,516,1776
147752.04,7286,0,6,0,61,292,2285,6,0,1840,81
45566.03,3113,1208,284,13,26,0,5,1616,9,595,945
61566.72,4790,551,785,44,49,0,1178,293,0,1137,247
61631.32,3945,456,967,106,47,0,943,666,0,848,714
70922.77,2884,35,923,41,0,0,975,70,0,742,227
103767.12,6204,29,592,759,433,206,1650,641,0,1659,425
91082.29,6472,97,440,457,614,292,2253,60,63,0,0
33763.92,2723,183,986,208,67,11,0,1530,0,0,1394
46313.81,3656,223,956,75,38,6,5,1316,0,286,990
107018.17,6873,389,1007,425,264,164,2505,53,0,2210,210
40035.24,1661,115,246,119,248,38,18,903,2,324,463
36881.5,4754,617,723,174,100,14,466,1210,0,768,822
27447.35,4608,478,666,261,146,90,325,1540,0,477,1232
49435.61,5849,1040,1767,253,114,80,717,2649,11,947,2396
33623.07,6600,1270,1272,394,200,89,10,3290,4,323,2805
45887.18,3985,726,684,295,113,53,317,1618,0,598,1243
99180.73,5308,94,532,280,188,324,1770,119,0,1624,155
74296.18,1241,23,259,87,33,23,426,44,10,433,48
51791.31,4061,622,484,239,312,49,803,1021,28,1082,691
71810.76,3837,152,1089,195,110,78,978,690,0,1041,579
56728.43,6643,32,684,348,166,580,1262,1439,0,1334,1144
73674.14,4940,221,864,353,241,137,1694,234,0,1325,521
41070.2,769,205,71,74,23,13,11,383,5,83,303
50427.25,3530,1005,275,51,48,10,557,853,21,715,615
90205.66,2065,613,86,39,51,0,620,198,0,631,166
50982.51,5107,234,904,370,197,144,480,1209,289,720,1089
70795.05,3934,44,894,258,82,39,1301,54,0,841,427
81537.82,9218,673,1135,243,321,297,2934,613,200,2953,688
129106.62,2887,0,0,63,725,60,730,138,0,765,80
96623.32,6066,320,383,333,481,264,1818,330,4,1760,271
93808.76,7367,71,1497,578,218,110,2404,260,0,2274,289
76741.6,2309,15,582,405,58,0,359,798,0,473,632
115026.31,9308,10,16,25,54,362,2560,14,0,2268,141
91327.17,4627,917,321,62,91,41,1365,341,0,1244,344
68317.31,4235,424,786,306,179,24,915,1004,0,918,888
54508.93,1832,205,176,80,45,26,306,354,0,334,310
160479.1,8781,0,12,51,519,573,2254,311,0,2119,232
38278.39,4093,1353,554,115,78,34,26,2298,5,504,1668
81395.06,4467,334,1053,239,207,30,1059,836,60,853,1021
76477.44,3970,561,300,127,107,128,1025,777,0,956,701
106269.98,4557,74,109,260,420,367,1469,58,4,1357,118
80964.32,6558,511,391,204,649,281,2167,315,0,1882,453
77351.14,3729,258,1132,87,54,0,1355,182,4,1193,272
37426.74,3331,420,856,170,137,46,449,1304,0,339,1323
102812.49,2521,34,613,90,92,15,787,51,80,873,59
73376.54,6881,533,743,499,286,316,2078,474,9,2017,472
46068.49,3896,795,598,100,31,5,1147,447,0,960,576
63832.06,2462,536,419,73,64,52,619,550,0,659,440
83170.03,3191,490,211,113,149,103,621,686,4,583,608
77490.34,8490,345,845,402,463,123,2709,3,242,2542,254
46413.39,2437,227,387,325,226,17,318,1061,0,324,954
42273.14,2795,709,257,55,85,51,10,1605,6,457,1041
76982.19,6265,916,1092,162,102,363,745,2407,5,1170,1655
99412.51,6434,646,451,152,154,208,2494,28,16,2150,280
138898.74,4671,7,366,1220,73,0,1673,5,4,1558,64
53565.34,8035,23,817,410,960,192,1874,608,1378,2958,676
87685.54,12651,386,324,100,234,580,3423,1034,26,3503,663
69047.44,2945,231,376,200,183,64,1189,31,30,1141,86
76172.5,3727,1014,275,57,19,0,1030,470,0,797,563
63399.02,7343,484,587,356,411,312,407,1993,44,1292,1008
18166.03,1906,116,309,49,119,191,0,1105,0,182,842
61873.25,8164,770,1542,472,419,140,710,3167,0,2015,1647
63377.06,5331,580,691,420,279,70,1839,370,5,1589,501
115749.71,8996,246,248,224,510,732,2907,303,195,2873,323
62566.94,3715,24,286,424,585,73,1039,401,0,914,445
49694.65,4965,1390,688,122,27,12,1530,762,4,1259,980
64726.61,3348,662,298,48,99,57,755,474,0,759,384
92692.09,4917,77,268,75,265,447,1622,308,4,1453,323
62473.99,5463,693,1278,498,432,101,261,2983,4,971,2086
59121.95,7642,70,666,689,586,680,5,3636,0,1656,1704
53095.55,3661,671,481,150,90,96,913,727,0,878,639
129530.16,1644,321,122,21,25,23,529,44,0,485,45
46986.41,3667,181,530,413,201,62,891,595,0,547,837
89116.59,1750,330,218,203,66,18,466,420,0,605,261
102447.46,5128,0,50,518,1099,18,1747,28,0,1478,153
57811.15,3683,162,1098,99,39,12,884,578,0,774,605
87053.92,4630,13,757,517,401,17,1532,207,0,1493,168
83133.28,5563,0,90,632,914,446,1290,975,14,1446,736
56669.74,5183,911,833,406,144,125,723,1950,4,1009,1409
80863.37,3199,436,530,146,61,24,997,287,4,838,359
52074.01,3679,666,543,91,156,64,814,846,0,698,767
92943.51,11716,35,138,72,231,856,690,2563,16,1799,1231
34137.86,3266,442,734,124,66,15,145,1338,5,286,1200
101634.62,5114,239,1170,249,17,17,1753,78,0,1453,213
62012.42,2652,871,288,149,28,27,731,642,5,891,471
40281.96,6156,768,944,372,387,334,474,2453,0,914,1814
186469.31,4774,11,50,55,345,359,1461,0,0,1198,73
45032.7,2768,135,903,254,56,9,41,1320,0,258,1072
97447.93,3709,27,620,399,92,12,1068,117,0,966,166
71384.07,6194,759,885,819,340,184,947,2231,4,1662,1460
85255.14,7263,688,929,199,115,47,1197,1580,6,1923,634
80776.83,3338,301,747,146,101,11,1072,314,5,1099,295
53393,4134,52,795,248,84,15,693,548,0,636,532
64731.12,4242,111,99,512,201,462,232,1875,5,1159,814
109241.46,4945,403,619,234,89,75,1690,21,7,1406,182
89505.95,1811,254,138,51,103,24,244,375,0,384,215
89429.99,2563,35,11,0,11,22,9,1580,0,523,388
94770.33,11538,0,32,17,305,1671,3240,114,0,2691,479
44107.73,3138,558,700,85,41,0,74,1332,9,451,906
49375.63,2675,722,378,22,18,0,747,416,5,684,414
109167.69,3704,117,592,574,27,16,1354,21,0,1299,30
101248.63,4695,277,190,384,513,207,1559,152,2,1550,155
32756.44,4393,1250,843,198,69,35,311,2132,5,576,1865
100151.14,6845,103,851,745,641,71,1885,724,4,2012,475
90550.6,8228,83,14,19,18,451,191,5243,0,2311,2643
87799.13,4707,27,633,1031,105,22,1466,476,0,1589,240
41037.62,4279,78,1326,338,69,26,0,2355,0,904,1303
94311.3,5827,33,925,459,425,94,1871,147,0,1364,514
55621.02,316,49,25,24,20,9,100,21,19,102,33
70077.45,6215,35,631,439,274,175,609,1241,4,763,1002
76143.54,3825,726,362,320,140,0,335,1472,0,949,779
32324.14,5877,1290,1390,277,240,86,54,3387,4,355,2897
110528.08,3937,0,65,906,122,9,1003,143,0,986,72
79733.2,9238,0,11,17,323,1196,1810,403,0,1656,382
56748.73,2646,1127,221,5,16,6,15,1367,14,509,843
93231.75,6568,49,238,718,601,249,2024,153,281,1949,345
